"1","20","Aceh Barat"
"2","20","Aceh Barat Daya"
"3","20","Aceh Besar"
"4","20","Aceh Jaya"
"5","20","Aceh Selatan"
"6","20","Aceh Singkil"
"7","20","Aceh Tamiang"
"8","20","Aceh Tengah"
"9","20","Aceh Tenggara"
"10","20","Aceh Timur"
"11","20","Aceh Utara"
"12","31","Agam"
"13","22","Alor"
"14","18","Ambon"
"15","33","Asahan"
"16","23","Asmat"
"17","1","Badung"
"18","13","Balangan"
"19","15","Balikpapan"
"20","20","Banda Aceh"
"21","17","Bandar Lampung"
"22","9","Bandung"
"23","9","Bandung Barat"
"24","28","Banggai"
"25","28","Banggai Kepulauan"
"26","2","Bangka"
"27","2","Bangka Barat"
"28","2","Bangka Selatan"
"29","2","Bangka Tengah"
"30","11","Bangkalan"
"31","1","Bangli"
"32","9","Banjar"
"33","13","Banjarbaru"
"34","13","Banjarmasin"
"35","10","Banjarnegara"
"36","27","Bantaeng"
"37","5","Bantul"
"38","32","Banyuasin"
"39","10","Banyumas"
"40","11","Banyuwangi"
"41","13","Barito Kuala"
"42","14","Barito Selatan"
"43","14","Barito Timur"
"44","14","Barito Utara"
"45","27","Barru"
"46","16","Batam"
"47","10","Batang"
"48","8","Batang Hari"
"49","11","Batu"
"50","33","Batu Bara"
"51","29","Bau-Bau"
"52","9","Bekasi"
"53","2","Belitung"
"54","2","Belitung Timur"
"55","22","Belu"
"56","20","Bener Meriah"
"57","25","Bengkalis"
"58","12","Bengkayang"
"59","4","Bengkulu"
"60","4","Bengkulu Selatan"
"61","4","Bengkulu Tengah"
"62","4","Bengkulu Utara"
"63","15","Berau"
"64","23","Biak Numfor"
"65","21","Bima"
"66","33","Binjai"
"67","16","Bintan"
"68","20","Bireuen"
"69","30","Bitung"
"70","11","Blitar"
"71","10","Blora"
"72","7","Boalemo"
"73","9","Bogor"
"74","11","Bojonegoro"
"75","30","Bolaang Mongondow (Bolmong)"
"76","30","Bolaang Mongondow Selatan"
"77","30","Bolaang Mongondow Timur"
"78","30","Bolaang Mongondow Utara"
"79","29","Bombana"
"80","11","Bondowoso"
"81","27","Bone"
"82","7","Bone Bolango"
"83","15","Bontang"
"84","23","Boven Digoel"
"85","10","Boyolali"
"86","10","Brebes"
"87","31","Bukittinggi"
"88","1","Buleleng"
"89","27","Bulukumba"
"90","15","Bulungan (Bulongan)"
"91","8","Bungo"
"92","28","Buol"
"93","18","Buru"
"94","18","Buru Selatan"
"95","29","Buton"
"96","29","Buton Utara"
"97","9","Ciamis"
"98","9","Cianjur"
"99","10","Cilacap"
"100","3","Cilegon"
"101","9","Cimahi"
"102","9","Cirebon"
"103","33","Dairi"
"104","23","Deiyai (Deliyai)"
"105","33","Deli Serdang"
"106","10","Demak"
"107","1","Denpasar"
"108","9","Depok"
"109","31","Dharmasraya"
"110","23","Dogiyai"
"111","21","Dompu"
"112","28","Donggala"
"113","25","Dumai"
"114","32","Empat Lawang"
"115","22","Ende"
"116","27","Enrekang"
"117","23","Fakfak"
"118","22","Flores Timur"
"119","9","Garut"
"120","20","Gayo Lues"
"121","1","Gianyar"
"122","7","Gorontalo"
"123","7","Gorontalo Utara"
"124","27","Gowa"
"125","11","Gresik"
"126","10","Grobogan"
"127","5","Gunung Kidul"
"128","14","Gunung Mas"
"129","33","Gunungsitoli"
"130","18","Halmahera Barat"
"131","18","Halmahera Selatan"
"132","18","Halmahera Tengah"
"133","18","Halmahera Timur"
"134","18","Halmahera Utara"
"135","13","Hulu Sungai Selatan"
"136","13","Hulu Sungai Tengah"
"137","13","Hulu Sungai Utara"
"138","33","Humbang Hasundutan"
"139","25","Indragiri Hilir"
"140","25","Indragiri Hulu"
"141","9","Indramayu"
"142","23","Intan Jaya"
"143","6","Jakarta Barat"
"144","6","Jakarta Pusat"
"145","6","Jakarta Selatan"
"146","6","Jakarta Timur"
"147","6","Jakarta Utara"
"148","8","Jambi"
"149","23","Jayapura"
"150","23","Jayawijaya"
"151","11","Jember"
"152","1","Jembrana"
"153","27","Jeneponto"
"154","10","Jepara"
"155","11","Jombang"
"156","23","Kaimana"
"157","25","Kampar"
"158","14","Kapuas"
"159","12","Kapuas Hulu"
"160","10","Karanganyar"
"161","1","Karangasem"
"162","9","Karawang"
"163","16","Karimun"
"164","33","Karo"
"165","14","Katingan"
"166","4","Kaur"
"167","12","Kayong Utara"
"168","10","Kebumen"
"169","11","Kediri"
"170","23","Keerom"
"171","10","Kendal"
"172","29","Kendari"
"173","4","Kepahiang"
"174","16","Kepulauan Anambas"
"175","18","Kepulauan Aru"
"176","31","Kepulauan Mentawai"
"177","25","Kepulauan Meranti"
"178","30","Kepulauan Sangihe"
"179","6","Kepulauan Seribu"
"180","30","Kepulauan Siau Tagulandang Biaro (Sitaro)"
"181","18","Kepulauan Sula"
"182","30","Kepulauan Talaud"
"183","23","Kepulauan Yapen (Yapen Waropen)"
"184","8","Kerinci"
"185","12","Ketapang"
"186","10","Klaten"
"187","1","Klungkung"
"188","29","Kolaka"
"189","29","Kolaka Utara"
"190","29","Konawe"
"191","29","Konawe Selatan"
"192","29","Konawe Utara"
"193","13","Kotabaru"
"194","30","Kotamobagu"
"195","14","Kotawaringin Barat"
"196","14","Kotawaringin Timur"
"197","25","Kuantan Singingi"
"198","12","Kubu Raya"
"199","10","Kudus"
"200","5","Kulon Progo"
"201","9","Kuningan"
"202","22","Kupang"
"203","15","Kutai Barat"
"204","15","Kutai Kartanegara"
"205","15","Kutai Timur"
"206","33","Labuhan Batu"
"207","33","Labuhan Batu Selatan"
"208","33","Labuhan Batu Utara"
"209","32","Lahat"
"210","14","Lamandau"
"211","11","Lamongan"
"212","17","Lampung Barat"
"213","17","Lampung Selatan"
"214","17","Lampung Tengah"
"215","17","Lampung Timur"
"216","17","Lampung Utara"
"217","12","Landak"
"218","33","Langkat"
"219","20","Langsa"
"220","23","Lanny Jaya"
"221","3","Lebak"
"222","4","Lebong"
"223","22","Lembata"
"224","20","Lhokseumawe"
"225","31","Lima Puluh Koto/Kota"
"226","16","Lingga"
"227","21","Lombok Barat"
"228","21","Lombok Tengah"
"229","21","Lombok Timur"
"230","21","Lombok Utara"
"231","32","Lubuk Linggau"
"232","11","Lumajang"
"233","27","Luwu"
"234","27","Luwu Timur"
"235","27","Luwu Utara"
"236","11","Madiun"
"237","10","Magelang"
"238","11","Magetan"
"239","9","Majalengka"
"240","26","Majene"
"241","27","Makassar"
"242","11","Malang"
"243","34","Malinau"
"244","18","Maluku Barat Daya"
"245","18","Maluku Tengah"
"246","18","Maluku Tenggara"
"247","18","Maluku Tenggara Barat"
"248","26","Mamasa"
"249","23","Mamberamo Raya"
"250","23","Mamberamo Tengah"
"251","26","Mamuju"
